Name	ORIG_FID	Latitude	Longitude
Devrawar	39127	24.84875078	81.00357199
Nachnaura	39204	24.74577251	80.84629491
Kanchanpur	39276	24.74906645	80.80414175
Chhiwali Mal	39326	23.27210808	80.95132716
Lugdara Mal	39332	23.27225156	80.92938349
Lugdara Ryt	39337	23.25974013	80.91726371
Chhiwali Ryt	39340	23.24816203	80.94671508
Amni Pipariya Mal	39343	23.24819545	80.91767227
Londajhir Mal	39345	23.24492906	80.96501283
Amni Pipariya Ryt	39349	23.23591333	80.92950007
Batondha Mal	39353	23.22653108	80.9762603
Bairgala	39355	24.74008509	80.74096342
Bhardwara Ryt	39377	23.22505624	80.91355155
Pakar Mya Bagharra Mal	39380	23.21484627	80.94090119
Duhaniya Ryt	39388	23.20908232	80.94992498
Kudwari	39420	23.16239309	80.9987451
Mauhria	39458	24.77972422	80.8192597
Ajhwar Ryt	39468	23.12680758	81.02729557
Pakar Ryt	39470	23.22832447	80.94818485
Nowrozabad Khodargama	39474	23.34298687	80.96429498
Babal Kund	39475	23.34887554	80.78557129
Judmani	39476	23.34528029	80.76990964
Nawagaon	39477	23.34362932	80.80066647
Katangi	39479	23.34959253	80.80930958
Chhada Kalan	39480	23.33785025	80.99607233
Sakarwar	39481	23.34944192	80.81983469
Pinaura	39482	23.33328715	80.93646205
Deori Amhai	39483	23.33331709	80.92385931
Dagdauwa	39484	23.33171738	80.89650633
Lahangi	39485	23.34183469	80.87985986
Dhanwahi	39486	23.34515058	80.86356745
Ghulghuli	39487	23.34084444	80.85175452
Chhuihai	39488	23.32344139	80.86541471
Parsel	39489	23.33860141	80.83267885
Kanchanpur	39490	23.32970756	80.8172119
Patapara	39491	23.32391137	80.98124429
Pondi	39492	23.3222355	81.01689665
Gahira Tola	39493	23.32290652	80.84143914
Nausemar	39494	23.32215333	80.85271319
Karnpura	39497	23.31375458	80.87733241
Kurriha	39498	23.31062528	80.91164348
Karoundi	39499	23.30908626	80.82262653
Kohaka	39500	23.30366521	80.89546987
Amadongri	39501	23.29965732	80.92759343
Majhouli	39503	23.3026894	81.02384576
Maneri	39504	23.29752808	80.84881313
Maradari	39505	23.2927429	80.96083336
Changera	39506	23.28153817	80.98478449
Bandhwa Tola	39507	23.26555016	81.00110998
Kaneri	39511	23.28310865	80.86315259
Dulhari	39512	23.28508486	80.8912483
Amuwari	39513	23.28682639	81.02597148
Bhamraha	39516	23.15473158	81.3629923
Ranidadar	39517	23.26706825	80.90547006
Singhpur	39520	23.27024004	80.88002989
Kolauni	39521	23.27565575	80.84361039
Isanpura	39522	23.26363894	81.02623825
Semariha	39525	23.25975673	80.87232814
Bhodalkhar Abad	39528	23.14408097	81.41976094
Kalda	39529	23.2464166	81.01414359
Mahobadadar	39532	23.23323897	81.00612491
Padera	39533	23.21853971	81.03097925
Mudehna	39550	23.56138373	80.88611694
Salaiya	39724	23.57158157	80.52930469
Kouwajhar	39728	23.56513368	80.58093926
Mahuda	39730	23.57031047	80.56410014
Paharuwa	39732	23.5515458	80.54783808
Khamtara	39733	23.54993651	80.53132693
Diwari	39734	23.55519841	80.55805917
Akhdar	39735	23.53508543	80.58127076
Badkhera	39740	23.5153313	80.56370826
Singhanpuri	39741	23.52155946	80.54265836
Mer	39743	23.56495547	80.55594494
Guda	39744	23.5315977	80.56193044
Mahura CT	39795	23.34192834	80.91092469
Pouniya	39822	23.54172692	80.56367473
Bistawal	39826	23.55418794	80.5641125
Manpur	39916	23.76452332	80.55376248
Gopalpur	39922	23.79544124	80.57670608
Saraswahi	39927	23.79201837	80.47514583
Amha	39938	24.83239416	80.78519693
Bijauri	39944	23.80082819	80.50296353
Pathra	39946	23.7881261	80.55118957
Jhalwara	39959	23.77295248	80.46339499
Atariya	39961	23.7784238	80.51407464
Pondi	39963	23.77607961	80.53050969
Khirhani	39964	23.77546285	80.49308453
Katangi Kal	39969	23.75876356	80.490709
Chapahni	39973	23.76144788	80.53855394
Badera	39975	23.75035723	80.52702174
Bichhiya	39977	23.74603264	80.4696002
Umariya	39979	23.75063136	80.5614671
Badwara Kalan	39982	23.74321455	80.58256023
Sarra	39984	23.74482402	80.4923717
Bachhauli	39987	23.73547293	80.51199084
Rupond Rupaund	39989	23.73814246	80.55878049
Saliya	39990	23.72609799	80.474997
Jhinjhari	39991	23.73443142	80.54287037
Deorihatai	39993	23.71120831	80.49155154
Bhaganwara	39997	23.71626643	80.52010223
Bamhanganvan	39998	23.72052014	80.53594864
Bachharwara	39999	23.72309666	80.57065501
Chandan	40001	23.71174162	80.54522062
Chiruhali	40003	23.71355134	80.55733818
Bhadawar	40005	23.69868742	80.57972843
Nanhwara	40007	23.7030744	80.53293131
Parai Kap	40009	23.69928657	80.56131167
Mainhara	40010	23.70009562	80.46973641
Bichpura	40012	23.69683838	80.51499684
Badagaon	40015	23.68518964	80.49951285
Sejha	40017	23.68343262	80.51898308
Bargawan	40018	23.68711857	80.53466395
Magarhata	40019	23.68241053	80.55948581
Guda	40022	23.67415271	80.54125736
Jamuniya	40025	23.66212296	80.52897585
Dhirpur	40027	23.66749836	80.567726
Malhan	40028	23.66391362	80.50746899
Amgawan	40031	23.66047145	80.4868266
Karibarah	40033	23.65700068	80.54976499
Bhajiya	40035	23.63627818	80.58067499
Dhangawan	40038	23.63994402	80.56122787
Kokodabra	40041	23.6344131	80.5203598
Bhalwara	40042	23.61973028	80.53520999
Muhgawan	40049	23.62016024	80.5830089
Khamhariya	40052	23.58751607	80.5543279
Bichuwa	40054	23.58173056	80.53498741
Mohanpani	40055	23.64898654	80.50460572
Dugargawan	40056	23.64569376	80.51608838
Tuman	40057	23.61058649	80.55814301
Katangi Khurd	40058	23.7647581	80.50874685
Mudgudi	40062	23.5664119	80.91873648
Kaudia	40063	23.57014229	80.65144099
Badrehal	40064	23.5761271	80.95990227
Barbaspur	40065	23.57466225	80.69479367
Lagwari	40066	23.57029325	80.79476387
Barmani	40067	23.56766413	80.7317255
Jatra Tola	40068	23.57037438	80.66457285
Lorha	40069	23.55675253	80.76319544
Dabarauha	40070	23.56254853	80.83562734
Takhatpur	40071	23.57321363	80.86062998
Dhanwahi	40072	23.56744233	80.81820728
Kuwan	40073	23.53371691	80.86369748
Bhodsa	40074	23.55640368	80.60557638
Baderi	40075	23.56391896	80.8665188
Ghoghri	40076	23.55458675	80.68373737
Rojhin	40077	23.56488267	80.70265038
Khusarwah	40078	23.54964344	80.98507862
Putpura	40079	23.50023895	80.88741324
Baherwah	40080	23.55066944	80.71400788
Chirrawah	40081	23.54599477	80.90130828
Badwahi	40082	23.54896152	80.95437017
Chandpur	40083	23.55809201	80.62620845
Narwar	40084	23.54963293	80.59309177
Sewai	40085	23.55521701	80.8513812
Narwar	40086	23.52975989	80.70055295
Badwar	40087	23.54341202	80.93461001
Bharola	40088	23.54570471	80.79987137
Launga	40089	23.55393047	80.81928563
Khale Kathai	40090	23.53959053	80.73801745
Bilai Kap	40091	23.54117565	80.87293983
Mahimar	40092	23.54637739	80.8624314
Punchhi	40093	23.54977537	80.62083442
Ghanghari	40094	23.54511354	80.84336383
Jogin	40095	23.53241765	80.6504309
Bharouli	40096	23.54658721	80.82002027
Bhundi	40097	23.53700411	80.63042373
Barhi	40098	23.5337197	80.66979573
Bhodsa	40099	23.54405317	80.6099102
Rohaniya	40100	23.52027504	81.01350862
Chandoul	40101	23.5222256	80.78334913
Pahadi Punchhi	40102	23.57405268	80.63758346
Umaria	40103	23.52047505	80.83635914
Majhgawan	40104	23.53364468	80.76871498
Salaiya	40105	23.53193429	80.61394614
Salaiya	40106	23.53982077	80.60727753
Belmana	40107	23.53415188	80.59699246
Chandwar	40108	23.52577087	80.79586206
Kota	40109	23.52494416	80.89731684
Bharhut	40110	23.51216557	80.94089326
Majhauli	40111	23.52739128	80.67727483
Pipariya	40112	23.51642239	80.87168958
Tikura Kathai	40113	23.51360741	80.72421024
Bhagda	40114	23.50436571	80.85606901
Pauniya	40115	23.51207444	80.76339101
Obara	40116	23.51518886	80.5909645
Chhatan Tola	40117	23.50688875	80.97787892
Ratheli	40118	23.50932344	80.9157637
Goraiya	40119	23.49555661	81.03598342
Laudhai	40120	24.70905054	80.83249003
Dhangi	40121	23.4974635	80.74128672
Tala	40122	23.49872308	80.58182184
Semariya	40123	23.50531872	80.87897837
Koylari	40124	23.50086607	80.7999108
Barauda	40125	23.49276185	80.67234992
Baruwa Seduri	40126	24.87128855	81.00207097
Kirantal Kalan	40127	23.49399167	80.85552029
Amha	40128	23.48198879	80.89306715
Bandha	40129	23.48717135	80.91082996
Ufri	40130	23.49610494	80.8340196
Ujania	40131	23.49797912	80.82084267
Ladera	40132	23.47867386	80.87511767
Urdani	40133	23.48750256	80.71389509
Ghunsu	40134	23.48061529	80.95939922
Amlai	40135	23.4824801	80.94154598
